@relation arabicText

@attribute arabicclass {Dialect,MSA}
@attribute text String

@data
Dialect,'وقّـف قلبو لحسن الشافعي'
MSA,'توقف قلبه لحسن الشافعي'
Dialect,' وانت اسكت لا تتحطم'
MSA,'وأنت اسكت لا تتحطم'
Dialect,'راغب يجنن'
MSA,'راغب رائع'
Dialect,'خسارة فيك اسمك :'
MSA,'خسارة فيك إسمك :'
Dialect,'انسان غريب'
MSA,'إنسان غريب'
Dialect,'وجه حسن عزاب'
MSA,'وجه حسن عذاب'
Dialect,' رهيب حسن ... تعالى .. تعالى'
MSA,' رهيب حسن ... تعالي .. تعالي'
Dialect,' متسمم فكره الولد وصارت حالته صعبه ياحنين انت'
MSA,' متسمم فكره الولد وصارت حالته صعبة يا حنون أنت'
Dialect,' أنا لو مكان راغب أروح أنتحر'
MSA,'أنا لو في مكان راغب أروح أنتحر'
Dialect,'الشعب الذي اختار نواب خرجين سجون و سوابق بستاهل اكثر من هيك مشان 50 دينار الله لا يرد هيك شعب'
MSA,'الشعب الذي إختار نواب خريجوا سجون و سوابق يستاهل أكثر من هذا لأجل 50 دينار الله لا يرد هكذا شعب'
Dialect,'حثاله على حثاله والحثاله انظف منهم'
MSA,'حثالة على حثالة والحثالة أنظف منهم'
Dialect,' سخيفه بقوه'
MSA,' سخيفة بقوة'
Dialect,'لجنة زبالة من ....... اذا بفهمو بالفن خاصة ابو النظارات اللي مش موجود بالفيديو'
MSA,'لجنة زبالة من ....... إذا يفهموا بالفن خاصة أبو النظارات الذي غير موجود بالفيديو'
Dialect,'هبله'
MSA,'هبلة'
Dialect,'شو هالغباء فضحتنا'
MSA,'ما هذا الغباء فضحتنا'
Dialect,'بيه الزناخه'
MSA,'ما أثقل ظله'
Dialect,'مبرد وجوهكم'
MSA,'ما أبرد وجوهكم'
Dialect,'عمدا فيهم ما نستعمل التدفئة و نلبس فروه'
MSA,'عمدا فيهم لا نستعمل التدفئة و نلبس فروة'
Dialect,'العرب مو لهيك شغلات لاكن احنا فاشلين الله معطينا كل متطلبات التحظر والتطور لاكن احنا لازقين بهلتفاهات ونضن انو هي التحظر'
MSA,'العرب ليسوا لهكذا أشياء لكن نحن فاشلين الله معطينا كل متطلبات التحضر والتطور لكن نحن لازقين بهذه التفاهات ونظن أن هي التحضر'
Dialect,'عرب اغبياء'
MSA,'عرب أغبياء'
Dialect,'قصدك اخر ما توصل اليه العقل البشري من تفاهات'
MSA,'قصدك آخر ما توصل إليه العقل البشري من تفاهات'
Dialect,'فيديو بايخ'
MSA,'فيديو تافه'
Dialect,'اموت بصوتها'
MSA,'أعشق صوتها'
Dialect,'كانت تسوي مقلب انها محترمة بعدين اعترفت انها .................'
MSA,'كانت تعمل مقلباً على أنها محترمة ثم إعترفت أنها .................'
Dialect,'دلوعه جدا مايا'
MSA,'دلوعة جداً مايا'
Dialect,'  لا وربي صوتها غليظ جدا'
MSA,'لا و ربي صوتها مزعج جداً'
Dialect,'تفه عليك وع شكلك ، أول ما نشهرت طلقت زوجها ، خنزيرة'
MSA,'تبا لك ولشكلك ، أول ما إنشهرت طلقت زوجها ، خنزيرة'
Dialect,'كله على راس المواطن ما يثير السخرية رفع اسعار المستقات النفطية المستخدمة في الصناعة تقول صناعتنا مكسرة الدنيا'
MSA,'كله على رأس المواطن ما يثير السخرية رفع أسعار المشتقات النفطية المستخدمة في الصناعة وكأن صناعتنا مكتسحة الدنيا'
Dialect,'فاشل....فاشله....برنامج فاشل'
MSA,'فاشل....فاشلة....برنامج فاشل'
Dialect,'هي عندها صوت قوي بس للأسف الحين مثل غيرها !'
MSA,'هي عندها صوت قوي لكن للأسف الآن مثل غيرها !'
Dialect,'ليش محشورين على بعض كذا ؟ خلصت الطاولات مالقو إلا هـ الطاوله الخايسه'
MSA,'لماذا محشورين على بعض هكذا ؟ خلصت الطاولات لم يجدوا إلا هـذه الطاولة الخائسة'
Dialect,' والله انو نذل'
MSA,' والله إنه نذل'
Dialect,'يا وجه الفطيره .. قبل تعيب الناس .. أنظر الى حإلك'
MSA,'يا بشع .. قبل أن تعيب الناس .. أنظر إلى حالك'
Dialect,'و الشرهه على الاغبياء اللي معطينك لايك ..'
MSA,'و الحق على الأغبياء الذين معطينك إعجاب..'
Dialect,'بس الله لا يسامحكم و تلقوها بصحتكم ان شاء الله.'
MSA,'فقط الله لا يسامحكم و تلقوها في صحتكم إن شاء الله.'
Dialect,'مشان الله حد يعمله هوشة بدنا نعطللنا شوي'
MSA,'أسأل الله شخص يعمل خناقة نريد أن نعطل قليلا'
Dialect,'لعنكم الله جهنم وبئس المصير ايها العازفون'
MSA,'لعنكم الله جهنم وبئس المصير أيها العازفون'
Dialect,' الظاهر اهلها مفقعين وجهها قبل ما تجي ومغطيه الفلعات'
MSA,'الظاهر أهلها ضربوا وجهها قبل أن تأتي و مغطية الضربات'
Dialect,'سوريا تعرضت لمؤامرة والامر المحزن ان ولاد سوريا انزلقو فالمؤامرة هاذي و الشنيعة'
MSA,'سوريا تعرضت لمؤامرة والأمر المحزن أن أولاد سوريا إنزلقوا في المؤامرة هذه و الشنيعة'
Dialect,'صوتها عجييييييب'
MSA,'صوتها عجيب'
Dialect,'سخافه بكل ما تحوي الكلمه من معنى'
MSA,'سخافة بكل ما تحوي الكلمة من معنى'
Dialect,'هههههههههههههههههههه مجرم عفن ومكبوت تفكيرك محصور بين فخذيك فقط لاغير. الجنة اللتي ستدخلها أنت لا أريد دخولها، جهنم أشرفلي و أهون علي من أن أكون مع أحد المجرمين المنحطين'
MSA,'هههههههههههههههههههه مجرم عفن ومكبوت تفكيرك محصور بين فخذيك فقط لاغير. الجنة التي ستدخلها أنت لا أريد دخولها، جهنم أشرف لي و أهون علي من أن أكون مع أحد المجرمين المنحطين'
Dialect,'المرأة تهان وتعامل كأداة جنسية تحت مسميات عديدة كالمسيار والمسفار والمصياف... إلخ وكلو بتمنو'
MSA,'المرأة تهان وتعامل كأداة جنسية تحت مسميات عديدة كالمسيار والمسفار والمصياف... إلخ وكلهم يتمنوا'
Dialect,'ليش الطلاب فاضين يعملو مشاكل فاضين للدراسه يعني ما عندهم وقت فراغ للمشاكل'
MSA,'لما الطلاب متفرغين يفعلوا مشاكل هم متفرغين للدراسة بمعنى ليس لديهم وقت فراغ للمشاكل'
Dialect,'جهنم وبأس المصير'
MSA,'جهنم وبئس المصير'
Dialect,'سخافه مالها حدود'
MSA,'سخافة مالها حدود'
Dialect,'هدا ماهو عقل هدا تخلوف'
MSA,'هذا ليس عقل هذا تخلف'
Dialect,'سخافه'
MSA,'سخافة'
Dialect,'بكفينا اللي بنشوفو من الدكاترة في الو الواحد نفس يعمل اشي'
MSA,'يكفينا ما نراه من الدكاترة وهل لدى الشخص بال بأن يفعل شيئاً'
Dialect,'يا خسارة الدقيقة وثنين وخمسين ثانية اللي ضيعتهن من حياتي على هذا المقطع التافه خخخخ'
MSA,'يا خسارة الدقيقة و إثنان وخمسون ثانية اللاتي أضعتهن من حياتي على هذا المقطع التافه خخخخ'
Dialect,'هاد برنامج وسوبر ستار برنامج شوف البريطان شو بعملو فعلن سوبر الهبل'
MSA,'هذا برنامج وسوبر ستار برنامج إنظر إلى البريطان ماذا يفعلون فعلاً سوبر الهبل'
Dialect,'هذا لا يعني خلوها من الاشكال المصدية '
MSA,'هذا لا يعني خلوها من الأشكال المنحطة'
Dialect,'اتفه برنآمج عآلمي'
MSA,'أتفه برنامج عالمي'
Dialect,'فطست ضحك على الشايب'
MSA,'فطست من الضحك على الشائب'
Dialect,'بس انا دايم احسها خشنة و رجال'
MSA,'لكن أنا دئما أحسها خشنة و رجال'
Dialect,'قرف شو هاد شي بخزي عنجد'
MSA,'قرف ما هذا شيء يخزي صدقا'
Dialect,'اش التفاهه هاذي ......'
MSA,'ما التفاهة هذه ......'
Dialect,'يلعن ابو التفاهه'
MSA,'يلعن أبو التفاهه'
Dialect,'احنا بنتهاوش مع الكتب  '
MSA,'نحن نتصارع مع الكتب  '
Dialect,'غباء في غباء لان نفس الحركه صارت في american idol يعني قلدنه البرنامج وبعد التصرفات اوووف'
MSA,'غباء في غباء لأن نفس الحركة صارت في american idol يعني قلدنا البرنامج وبعض التصرفات اووف'
Dialect,'كاميرا خفية في الانحطاط الاخلاقي'
MSA,'كاميرا خفية في الإنحطاط الأخلاقي'
Dialect,'يلعن اخت المياعة والبياخة'
MSA,'تبت المياعة والبياخة'
Dialect,'صار عناد وكره و قلة أدب.... . بس ظلموها'
MSA,'صار عناد وكره و قلة أدب.... . لكن ظلموها'
Dialect,' يا اخي وين ما تروح بالاردن تخطى مناطق الشخصيات المهمة بالبلد و الباقي كله مكرهة صحية'
MSA,'يا أخي أين ما تروح بالأردن تتخطى مناطق الشخصيات المهمة بالبلد و الباقي كله مكرهة صحية'
Dialect,'مجنون صوتها انا'
MSA,'مجنون صوتها أنا'
Dialect,'هذه البراامج اللي تخلف العاهات للفن الهابط فن اليومين هذا'
MSA,'هذه البرامج التي تخلف العاهات للفن الهابط فن اليومين هذا'
Dialect,'احس بمرض لا شفت هالبرنامج'
MSA,'احس بمرض لا شاهدت هذا البرنامج'
Dialect,'حسبنا الله و نعم الوكيل فيكم و في مجلس النواب الحالي و الذي لا يمثل الشعب الاردني فهم غير سأئلين عن الشعب يبحثون عن مناصب وزاريه و رواتب خياليه بينما المواطن الاردني طفح الكيل معه و اصبح لا يطيق الحياه'
MSA,'حسبنا الله و نعم الوكيل فيكم و في مجلس النواب الحالي و الذي لا يمثل الشعب الأردني فهم غير سائلين عن الشعب يبحثون عن مناصب وزارية و رواتب خيالية بينما المواطن الأردني طفح الكيل معه و أصبح لا يطيق الحياة'
Dialect,'الظاهر عقلك تافه من اصحاب العقول المقفلة'
MSA,'الظاهر عقلك تافه من أصحاب العقول المقفلة'
Dialect,'متى يجي .. عام 2050 عشان ادخل رجلي مع الشاشه واحطها بفمك'
MSA,'متى يأتي .. عام 2050 لكي أدخل رجلي مع الشاشة وأضعها بفمك'
Dialect,'اللهم خذهم اخد عزيز مقتدر فانهم لا يرحموا الضعفاء اللهم سلط عليهم عذابك فانهم ارونا الويلات '
MSA,'اللهم خذهم أخد عزيز مقتدر فإنهم لا يرحموا الضعفاء اللهم سلط عليهم عذابك فإنهم أرونا الويلات '
Dialect,'الغلط مو من المشاركين الغلط من نفس البرنامج المفروض تكون فى مرحله فرز فى البدايه قبل لايطلعو الهواء'
MSA,'الغلط ليس من المشاركين الغلط من نفس البرنامج المفروض أن تكون هنالك مرحلة فرز فى البداية قبل أن يخرجوا على الهواء'
Dialect,'المشاركين بينو للناس انه اللى قايمين على البرنامج حمير'
MSA,'المشاركين بينوا للناس أن القائمين على البرنامج حمير'
Dialect,'من يستمتع برؤية الناس في مواقف محرجة فهو سادي و غير اصيل و نفسه ضعيفة و مريضة'
MSA,'من يستمتع برؤية الناس في مواقف محرجة فهو سادي و غير أصيل و نفسه ضعيفة و مريضة'
Dialect,'مياعة وسئالة من عدولة والي معو'
MSA,'مياعة وثقالة من عدولة والذي معه'
Dialect,'متفقين معهم... و البرنامج خايس'
MSA,'متفقين معهم... و البرنامج خائس'
Dialect,'مش طبيعي سماكة الدم شو ها عدولة خرب المقطع لشو المبالغة والاوفر يعني'
MSA,'غير طبيعي سماكة الدم ما هذا عدولة خرب المقطع لما المبالغة و التمثيل يعني'
Dialect,'اصلن صاحب البرنامج ماخذ شباب الامه مصخره'
MSA,'أصلا صاحب البرنامج يأخذ شباب الأمة مسخرة'
Dialect,'اللهم ارنا فيهم عجيب صنعك فانهم اذلو الشعوب'
MSA,'اللهم أرنا فيهم عجيب صنعك فإنهم أذلوا الشعوب'
Dialect,'حرام عليك كانو بقرة بتولد'
MSA,'حرام عليك كأنه بقرة تلد'
Dialect,'يلعن اخت اليهود اذا بدهم يرجعو شبر من فلسطين'
MSA,'يلعن أخت اليهود إذا أرادوا أن يرجعوا شبراً من فلسطين'
Dialect,'والله انا نفسي بزعل اذا رجعت لانه مش احنا اللي بنستحقها'
MSA,'والله أنا نفسي أزعل إذا رجعت لإنه ليس نحن الذين نستحقها'
Dialect,'من زمان ما شفت مخلوقات فضائيه هع'
MSA,'منذ زمن لم أرى مخلوقات فضائية هع'
Dialect,'احسن من هيك رئيس وزراء ما في '
MSA,'أحسن من هكذا رئيس وزراء لا يوجد'
Dialect,'لهالدرجه في متخلفين في الوطن العربي؟؟؟؟؟؟'
MSA,'لهذه الدرجة يوجد متخلفين في الوطن العربي؟؟؟؟؟؟'
Dialect,'يا اخي اطلع في صورتك بالمراية و شوف ادائك هوة اداء فني + صوت مناسب قبل لا تفضح حالك في هيك برامج تافهة'
MSA,'يا أخي أنظر في صورتك بالمرآة و أنظر أدائك هو أداء فني + صوت مناسب قبل أن لا تفضح نفسك في هكذا برامج تافهة'
Dialect,'فعلا فضايح ما توقعتها في شبابنا المتخلف اخلاقياً وصوتياً وبدنياً اها وعقلياً بالتأكيد'
MSA,'فعلا فضائح ما توقعتها في شبابنا المتخلف أخلاقياً وصوتياً وبدنياً اه وعقلياً بالتأكيد'
Dialect,'عيب والله اسم المقطع'
MSA,'عيب والله إسم المقطع'
Dialect,'اندهش لما عرف الحقيقة'
MSA,'إندهش حين عرف الحقيقة'
Dialect,'لا حول ولا قوة ألا بالله أذا أخذ ما أوهب أسقط ما أوجب'
MSA,'لا حول ولا قوة إلا بالله إذا أخذ ما أوهب أسقط ما أوجب'
Dialect,'و الله انكو ما بتخافو الله'
MSA,'و الله أنكم لا تخافوا الله'
Dialect,'الله وكيلك مشحطط اهل دابوق و دير غبار و عبدون و منعم على الفقراء'
MSA,'الله وكيلك معذب أهل دابوق و دير غبار و عبدون و منعم على الفقراء'
Dialect,' يا سيدي هدول عاهات ولله يعني فيك تسحب عليهم قرض من البنك كونهم عاهات'
MSA,'يا سيدي هؤلاء عاهات ولله يعني يمكن تسحب عليهم قرض من البنك كونهم عاهات'
Dialect,'هذا اللي انت فالح فيه بس..كيف تختار ضحاياك بالسرق جعل العاهه تصيبك ولاعاد تطيب منها يا ولد الحرام'
MSA,'هذا الذي أنت فالح فيه فقط..كيف تختار ضحاياك بالسرقة جعل العاهة تصيبك ولا تعود تطيب منها يا ولد الحرام'
Dialect,'العاهات اللي عندهم ... ياناس روووح موتو ابرك لكم'
MSA,'العاهات الذين عندهم ... يا ناس إذهبوا موتوا أفضل لكم'
Dialect,' لازم اخر ما توصل اليه العقل البشري من غباء اخوكم حمزة اللهواني من الاردن'
MSA,'لازم آخر ما توصل إليه العقل البشري من غباء أخوكم حمزة اللهواني من الأردن'
Dialect,'لالا بس اغلبهم داريين بس يقولها استعباط ورفع ضعط خذها مني'
MSA,'لا فقط أغلبهم عارفين فقط يقولها إستعباط ورفع ضغط خذها مني'
Dialect,'معتيه واضح انهم يمثلون'
MSA,'معاتيه واضح أنهم يمثلون'
Dialect,'الله لا يخلف عليهم و لا يكثر خيرهم فعلن شعب مسكين و عبد الله النسور بطل رفع الاسعار'
MSA,'لا بارك الله عليهم و لا يكثر خيرهم فعلاً شعب مسكين و عبد الله النسور بطل رفع الأسعار'
Dialect,'عادي محنا اتعودنا على الرفع من يوم يومنا و احنا ما بنعرف غير الرفع همه برفعو و نحنا بندفع و على حسابنا'
MSA,'عادي نحن تعودنا على الرفع من يوم يومنا و نحن لا نعرف غير الرفع هم يرفعوا و نحن ندفع و على حسابنا'
Dialect,'هذا ليس مضحك ، بل مخزى ، يا للخزى و العار'
MSA,'هذا ليس مضحك ، بل مخزي ، يا للخزي و العار'
Dialect,'هذا اللى فالحين فيه العرب ، فقط الهبل و التخلف'
MSA,'هذا الذي فالحين فيه العرب ، فقط الهبل و التخلف'
Dialect,'حتى فى التخلف مش فالحين منيح'
MSA,'حتى فى التخلف غير فالحين جيدا'
Dialect,'فاشلين الى ما لا نهاية'
MSA,'فاشلين إلى ما لا نهاية'
Dialect,'تليفيزيون المستقبل صار سيء للغاية ما أدري ليش!!'
MSA,'تليفيزيون المستقبل صار سيء للغاية لا أعلم لماذا!!'
Dialect,'حسبنا الله و نعم الوكيل في اناس همهم تجويع الشعب'
MSA,'حسبنا الله و نعم الوكيل في ناس همهم تجويع الشعب'
Dialect,'ما بتحبو حد'
MSA,'لا تحبوا أحد'
Dialect,'اغبياء'
MSA,'أغبياء'
Dialect,'جد اشي بخزي!!'
MSA,'جد شيء مخزي!!'
Dialect,'لو يبطلو سرقه بهالخزينه و الله الشعب ليعيش و لكو ارحمونا حرام عليكم'
MSA,'لو يوقفوا سرقة بهذه الخزينة و الله الشعب ليعيش أرجوكم إرحمونا حرام عليكم'
Dialect,'لوين بدكم توصلونا و الله هموم المصاريف قتلت الصغير قبل الكبير الله ياخذ حقنا منكم و لا يباركلكم'
MSA,'إلى إين تريدون أن توصلونا و الله هموم المصاريف قتلت الصغير قبل الكبير الله يأخذ حقنا منكم و لا يبارك لكم'
Dialect,'لا حول ولا قوة اللا بالله العظيم ،لم أكن أعلم ان نسبة ذكاء العرب منخفضه جدا الى هذا الحد'
MSA,'لا حول ولا قوة إلا بالله العظيم ،لم أكن أعلم أن نسبة ذكاء العرب منخفضة جداً إلى هذا الحد'
Dialect,' و ما زال العود مصدي'
MSA,'و ما زال العود صديء'
Dialect,'و الله مش طبيعي حرام و الله غير تنتشر السرقة و النهب خرب الامان النشور'
MSA,'و الله غير طبيعي حرام و الله سوف تنتشر السرقة و النهب خرب الأمان النشور'
Dialect,' هذول مساجين ولا ايش'
MSA,'هؤلاء مساجين أم ماذا'
Dialect,'طول عمر بخاف أن أمثالك يصبحوا مطربين'
MSA,'طوال عمري أخاف أن أمثالك يصبحوا مطربين'
Dialect,'اهل العقول براحة ام نسيانك يا بو نسيان صعب والله صعب'
MSA,'أهل العقول براحة أم نسيانك يا أبو نسيان صعب والله صعب'
Dialect,'لأن ما بعتقد انو في هالقد عاهات ما بيعرفوا انو صوتهم نشاز لأنو كتيير نشاز و ازا في رح تكون حالات استثنائية مو بهاد الكم الكبير'
MSA,'لأني لا أعتقد أنه في هذا القد عاهات لا يعرفوا أن صوتهم نشاز لأنه كثير نشاز و إذا في سوف تكون حالات إستثنائية ليس بهذا الكم الكبير'
Dialect,'هل الثقه بالمشتركين زايده لدرجة العمى أو ان محيطهم يجاملهم بجمال صوتهم !!'
MSA,'هل الثقة بالمشتركين زائدة لدرجة العمى أو أن محيطهم يجاملهم بجمال صوتهم !!'
Dialect,'و الله مش عارفة شو بدنا نسوي نشحد مثلا'
MSA,'و الله لست عارفة ما سوف نفعل نشحذ مثلاً'
Dialect,'  لا لا لا شي مو طبيعي'
MSA,'  لا لا لا شيء غير طبيعي'
Dialect,'لا حول ولا قوة الا بالله ليش الحرج هدا'
MSA,'لا حول ولا قوة إلا بالله لما الإحراج هذا'
Dialect,' اللهم لا شماته ليش ياربي  يحرجوا انفسهم'
MSA,'اللهم لا شماتة لما ياربي  يحرجوا أنفسهم'
Dialect,'بس الحكام ما عندهم ذوق للأسف'
MSA,'بس الحكام ليس لديهم ذوق للأسف'
Dialect,'المشكلة ناس بتسمع حالها بالحمام هيه و بتغني,,و بتقتنع خلص'
MSA,'المشكلة أن الناس تسمع حالها بالحمام و هي تغني,,و تقتنع خلاص'
Dialect,'ناس مطفرة من الآخر'
MSA,'ناس مفلسة من الآخر'
Dialect,'اقلب وجهك'
MSA,'إقلب وجهك'
Dialect,'اي تفائل هاد يا زلمة روح تشائم احسلك'
MSA,'أي تفائل هذا يا رجل إذهب تشائم احسن لك'
Dialect,'ثكلتك امك'
MSA,'ثكلتك أمك'
Dialect,' والله عيب بهدلتو حالكم'
MSA,'والله عيب بهدلتم أنفسكم'
Dialect,'يعني هيك برامج بتبين للناس وين صرنا و كم صارت نسبة التخلف بين شباب امتنا'
MSA,'يعني هكذا برامج تبين للناس أين صرنا و كم صارت نسبة التخلف بين شباب أمتنا'
Dialect,'انا متشائم و رح اضل متشائم حتى ينزلوا البنزين'
MSA,'أنا متشائم و سوف أبقى متشائم حتى يخفضوا البنزين'
Dialect,'فعلا اللي بيســتحوا ماتوا'
MSA,'فعلا الذين إســتحوا ماتوا'
Dialect,'سخافات وتخلف شباب وصبايا هل الأيام !!!'
MSA,'سخافات وتخلف شباب وصبايا هذه الأيام !!!'
Dialect,'انا بكرهك'
MSA,'أنا أكرهك'
Dialect,'الله اكبر على كل ظالم'
MSA,'الله أكبر على كل ظالم'
Dialect,'مش عارف كيف الناس بتحبك يا زلمة؟'
MSA,'لست أعرف كيف الناس تحبك يا رجل؟'
Dialect,'فعلا زي ما حكى اخر شي .... مهزلة .. وانا مهزلة اللي ضيعت وقتي اشوف هيك مسخرة .. فعلا اني مسخرة'
MSA,'فعلا مثل ما قال آخر شيء .... مهزلة .. وأنا مهزلة الذي أضعت وقتي أشاهد هكذا مسخرة .. فعلا إني مسخرة'
Dialect,' هالانسان مجنون لابس بدلة رياضة و جاي يغني حتى لو صوتك زين اللبس عدل'
MSA,'هذا الإنسان مجنون يلبس بدلة رياضية و يأتي يغني حتى لو صوتك جميل إلبس جيداً'
Dialect,'عنجد هذا الانسان تافه وحقير'
MSA,'بصدق هذا الإنسان تافه وحقير'
Dialect,'ما اثقل دمك و ما اغباك'
MSA,'ما أثقل دمك و ما أغباك'
Dialect,' لازم يحكم عليهم بالسجن'
MSA,'يجب أن يحكم عليهم بالسجن'
Dialect,'قمة التخلف والانحطاط'
MSA,'قمة التخلف والإنحطاط'
Dialect,'ما ازنخك انت و مقالاتك'
MSA,'ما أبغضك أنت و مقالاتك'
Dialect,' من الي ضاحك عليهم انو اصواتهم حلوة'
MSA,'من الذي ضحك عليهم أن أصواتهم جميلة'
Dialect,'أحلى تخلف'
MSA,'أجمل تخلف'
Dialect,' عاهات اللهم لاشماته'
MSA,' عاهات اللهم لاشماتة'
Dialect,'روح اكتب اشي زي العالم و الناس بدل ما انت بتتهبل هيك و بتتمسخر يا مسخرة'
MSA,'إذهب أكتب شيء مثل العالم و الناس بدلا من أن تتهبل هكذا و تتمسخر يا مسخرة'
Dialect,'انا عرف شيء والله ببكي اكتر ما بضحك'
MSA,'أنا عارف شيء والله يبكي أكثر مما يضحك'
Dialect,'يا خسارة عليكو يا شباب المستقبل'
MSA,'يا خسارة عليكم يا شباب المستقبل'
Dialect,'فعلا مهزله'
MSA,'فعلا مهزلة'
Dialect,'مساكين ها البشر'
MSA,'مساكين هؤلاء البشر'
Dialect,'والله تحشيش من الاخر'
MSA,'والله مضحك من الآخر'
Dialect,'كيف صرت كاتب يا زلمة ؟؟ انت كثير عليك غبي'
MSA,'كيف أصبحت كاتب يا رجل ؟؟ أنت كثير عليك غبي'
Dialect,'والله تحشيش'
MSA,'والله مضحك'
Dialect,'حالات مرضية نفسية مستعصية لا يستطيع شفائها لا العلم و لا الفن'
MSA,'حالات مرضية نفسية مستعصية لا يستطيع شفاؤها لا العلم و لا الفن'
Dialect,'عالم فاضيه بيسموا الغناء فن بيشغلوا الناس'
MSA,'عالم فاضية يسموا الغناء فن يشغلوا الناس'
Dialect,'تأثير الغرب مبين على العرب المجانين'
MSA,'تأثير الغرب واضح على العرب المجانين'
Dialect,'اقترح تحويلهم الى طبيب نفسي و ليس الى القضاء'
MSA,'أقترح تحويلهم إلى طبيب نفسي و ليس إلى القضاء'
Dialect,'اخر واحد اش فيه؟ مجنون؟؟ المفروض اللجنة تمنع المجانين'
MSA,'آخر واحد ما به؟ مجنون؟؟ المفروض اللجنة تمنع المجانين'
Dialect,'اسخف لجنة تحكيم شفتها بحياتي'
MSA,'أسخف لجنة تحكيم رأيتها في حياتي'
Dialect,'اقسم بالله ان العرب اكثر الشعوب تخلفا'
MSA,'أقسم بالله أن العرب أكثر الشعوب تخلفاَ'
Dialect,'مؤامره معروفه ضد الشرفاء في هذا البلد'
MSA,'مؤامرة معروفة ضد الشرفاء في هذا البلد'
Dialect,'حثالة و شباب صايع'
MSA,'حثالة و شباب صائع'
Dialect,'و شباب صايع مو ملاقي ياكل'
MSA,'و شباب صائع لا يجد ما يأكل'
Dialect,'شباب صايع مو ملاقي ياكل و مخه فاضي و متخلف عقليا'
MSA,'شباب صائع لا يجد ما يأكل  و مخه فاضٍ و متخلف عقلياَ'
Dialect,'وهاد اللي بخبص حكي ملوش معنا ابن مين هاد'
MSA,'و هذا الذي يخبص كلام ليس له معنى إبن من هذا'
Dialect,'نيله تنيلكم من وين جايبين هالحثاله'
MSA,'تبا لكم من أين أتوا هذه الحثالة'
Dialect,'هههه انا من ناحيتي هاظ الانسان الي قاعد بلنص اغبى واحد'
MSA,'هههه أنا من ناحيتي هذا الإنسان الذي جالس في النصف أغبى واحد'
Dialect,'الحق مش على لجنة التحكيم الحق على الاغبيه المشتركين'
MSA,'الحق ليس على لجنة التحكيم الحق على الأغبياء المشتركين'
Dialect,'كنا نقول البلد حاميها حراميها و ماذا سنقول الأن مفتيها حراميها و الله الواحد تحير في هذه الامة التي اصبح الحليم فيها حيران'
MSA,'كنا نقول البلد حاميها سارقها و ماذا سنقول الآن مفتيها سارقها و الله الواحد تحير في هذه الأمة التي أصبح الحليم فيها حيران'
Dialect,'لجنه حكم ماعندها ذره احترام'
MSA,'لجنه حكم ليس لديها ذرة إحترام'
Dialect,'برنامج فاشل جدا'
MSA,'برنامج فاشل جداً'
Dialect,'والله انك مسخره يا عجوز'
MSA,'والله إنك مسخرة يا عجوز'
Dialect,'مش عارف كيف اهلهم سمحولهم يقدمو في البرنامج هادول شغل بطون'
MSA,'لست عارف كيف أن أهلهم سمحوا لهم أن يقدموا في البرنامج هؤلاء شغل بطون'
Dialect,' أنواع الشماته هالكلبا'
MSA,' أنواع الشماتة هذه الكلبة'
Dialect,'ليش تتضحكو مش حلو'
MSA,'لماذا تضحكون ليس جميل'
Dialect,'و لو هو انسان و عنده احاسيس ممكن من هالموقف اللي الكل يشوفه يتعقد هالإنسان من حياته كلها'
MSA,'و لو هو إنسان و لديه أحاسيس ممكن من هذا الموقف الذي الكل يراه يتعقد هذا الإنسان من حياته كلها'
Dialect,'السلام عليكم الحقيقه انا لا اعرف شو وقاحة هاي اللجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهم'
MSA,'السلام عليكم الحقيقة أنا لا أعرف ما وقاحة هذه اللجنة المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهم'
Dialect,'ما عندهم هو قلة احترام للمشتركين و قلة ادب تجاه المشاهدين'
MSA,'ما عندهم هو قلة إحترام للمشتركين و قلة أدب تجاه المشاهدين'
Dialect,'يجب وضع كل من تسول له نفسة مجرد ان يعمل اي تصرف لا يليق بالاردن ان يسجن و يسجن شىء مخزي شوية همل و زعران يخربوا الجامعات و سمعة البلد'
MSA,'يجب وضع كل من تسول له نفسه مجرد أن يفعل أي تصرف لا يليق بالأردن أن يسجن و يسجن شىء مخزي قلة همل و زعران يخربوا الجامعات و سمعة البلد'
Dialect,'ضيعت 7 دقايق من عمري بمشاهدة ازنخ و اتفه شخص بالحياة الا و هو اللي بالنص و لا حتى بعرف اسمه'
MSA,'ضيعت 7 دقائق من عمري بمشاهدة أبلد و أتفه شخص بالحياة الا و هو الذي بالنصف و لا حتى أعرف إسمه'
Dialect,'هذا اللي بالنص من لجنة الحكم مفكر نفسو وديع الصافي'
MSA,'هذا الذي بالنصف من لجنة الحكم يحسب نفسه وديع الصافي'
Dialect,'مسخره والله'
MSA,'مسخرة والله'
Dialect,' صح جدا'
MSA,' صحيح جدا'
Dialect,'ولا تنسو تبسمك في وجه اخيك صدقه'
MSA,'ولا تنسوا تبسمك في وجه أخيك صدقه'
Dialect,'ليتنا نستطيع الابتسامه في الاوقات المؤلمه'
MSA,'ليتنا نستطيع الإبتسامة في الأوقات المؤلمة'
